D,N,exp_name,exp_value,exp_std,notes
2,8,alpha_1,0.5597380871874454,0.05350569251096626,
2,8,alpha_2,0.4287967017433469,0.13331375247415134,
2,8,k_c,0.25688947355259817,0.0019259167268891961,from alpha
2,16,alpha_1,0.6182450653114695,0.03304040084000528,
2,16,alpha_2,0.4834444874982155,0.06357479034655218,
2,16,k_c,0.2287028754998704,0.0006715526370182136,from alpha
2,32,alpha_1,0.6872730068869943,0.017726049279685914,
2,32,alpha_2,0.3872581054185768,0.03856283828176562,
2,32,k_c,0.22430964991745306,0.00035670788300551164,from alpha
2,64,alpha_1,0.6971192201717097,0.009340651386579907,
2,64,alpha_2,0.3660276927269162,0.021389711305725395,
2,64,k_c,0.2217368117527056,0.00019556214766214082,from alpha
3,4,alpha_1,0.4834935502135584,0.04337862765656016,
3,4,alpha_2,0.4358764863277877,0.11458592541139775,
3,4,k_c,0.14568294893209485,0.0006104521837582232,from alpha
3,6,alpha_1,0.7997409572059871,0.039166454286358,
3,6,alpha_2,0.2910818538698053,0.0573707193122663,
3,6,k_c,0.12582994077999965,0.00028036468136407835,from alpha
3,8,alpha_1,1.020850353355432,0.050066565755133664,
3,8,alpha_2,0.3414226221504701,0.042931603201417416,
3,8,k_c,0.1171730380375603,0.0003475098110887096,from alpha
3,10,alpha_1,0.9649991528273004,0.05317198754854265,
3,10,alpha_2,0.3738703220526101,0.03214599995759854,
3,10,k_c,0.11437808795793974,0.0003615655121125782,from alpha
3,16,alpha_1,0.7869109347399422,0.02145639473748024,
3,16,alpha_2,0.4353245715170761,0.013657076826617796,
3,16,k_c,0.11214393879007294,0.00011298107129129629,from alpha
4,4,alpha_1,0.5730795336508187,0.1850959965869733,
4,4,alpha_2,0.3875432316433296,0.08548281244077571,
4,4,k_c,0.08220942305680999,0.0012413878726994492,from alpha
4,6,alpha_1,0.8801353764879751,0.11562669930268354,
4,6,alpha_2,0.30814594775196225,0.03046916266039657,
4,6,k_c,0.07775909699315282,0.00026901912728621093,from alpha
4,8,alpha_1,0.5697531865848641,0.15202028734929146,
4,8,alpha_2,0.31768689765868274,0.0287833794256065,
4,8,k_c,0.07488619006877964,0.0003728984204083069,from alpha
4,10,alpha_1,0.4379782320696793,0.03485569100436493,
4,10,alpha_2,0.16585123552942216,0.0227647332626684,
4,10,k_c,0.0743289146741977,0.00023673616421343861,from alpha
2,8,gamma_1,1.5239302217013413,0.012915955618490571,
2,8,gamma_2,0.8227763741516892,0.5529721979779212,
2,8,k_c,0.2586056530094956,3.308324310124332e-06,from gamma
2,16,gamma_1,1.5264985349636218,0.0230603202645476,
2,16,gamma_2,2.2383441785472127,0.10477229584144516,
2,16,k_c,0.2304092208064185,0.00014652029374713954,from gamma
2,32,gamma_1,2.370312374274013,0.010087376133191842,
2,32,gamma_2,1.1692762837454085,0.12742455132425376,
2,32,k_c,0.2265172341144276,8.814026086132599e-06,from gamma
2,64,gamma_1,2.664072127670572,0.011893427480597598,
2,64,gamma_2,1.2148444010091721,0.08456779894323868,
2,64,k_c,0.22346542414757875,1.8786470658443481e-06,from gamma
3,4,gamma_1,1.6058161456200777,0.0296916159725252,
3,4,gamma_2,1.164272661457791,0.30631184152311874,
3,4,k_c,0.14723149553991294,1.646389010074363e-05,from gamma
3,6,gamma_1,2.117109062729479,0.11934024426123582,
3,6,gamma_2,4.917535443380979,0.9911919242773904,
3,6,k_c,0.12618177894775084,0.0004245288578725257,from gamma
3,8,gamma_1,1.870587984512288,0.15774483228553085,
3,8,gamma_2,1.6953116298223592,0.2781659244448217,
3,8,k_c,0.1166243933087869,0.000462797493195388,from gamma
3,10,gamma_1,2.2462594950677417,0.08115222027374164,
3,10,gamma_2,0.7349850066271242,0.12381792588122513,
3,10,k_c,0.11734168854067385,1.5439049223609615e-07,from gamma
3,16,gamma_1,1.4551614507195625,0.0862389821562711,
3,16,gamma_2,1.7753077656078973,0.2949761057409437,
3,16,k_c,0.11119234692620376,0.0001031504303814584,from gamma
4,4,gamma_1,0.13871208221179174,0.20918598373720806,
4,4,gamma_2,1.4053379686865528,0.09519376233305303,
4,4,k_c,0.07708024922399535,8.91014580064079e-05,from gamma
4,6,gamma_1,1.9572807220955581,0.32640950598884755,
4,6,gamma_2,0.6254554491007471,0.15703497147392334,
4,6,k_c,0.08026315267816016,1.4499029959264952e-08,from gamma
4,8,gamma_1,0.5016342306055627,0.6024493147274623,
4,8,gamma_2,1.8120768420397115,0.5956314145744924,
4,8,k_c,0.07390294709051308,0.001043062868634249,from gamma
4,10,gamma_1,0.9558773964350862,0.5068398163352442,
4,10,gamma_2,2.4317648099577984,1.0053192326776463,
4,10,k_c,0.07327828011997213,0.0012935435227890994,from gamma
2,8,beta,0.024810853789692097,0.001940526362100012,
2,8,k_c,0.2543768814728767,0.002890510978981859,from beta
2,16,beta,0.05728326782657533,0.0012260214235881273,
2,16,k_c,0.22929266618589386,0.00039505446040671936,from beta
2,32,beta,0.07713258966472343,0.0006111845059082392,
2,32,k_c,0.2244814709931212,3.908078558692807e-05,from beta
2,64,beta,0.09365463916102992,0.0010566333442681207,
2,64,k_c,0.2210389607265396,0.0001551532339710894,from beta
3,4,beta,0.04279820395129468,0.0007858144246420482,
3,4,k_c,0.1441325730616427,3.7393078712073534e-05,from beta
3,6,beta,0.10033402534843733,0.002871779804467337,
3,6,k_c,0.1246711833709753,0.0005279645308012286,from beta
3,8,beta,0.14579571675497716,0.0008828858515872582,
3,8,k_c,0.11724137877486218,4.6814605069857126e-09,from beta
3,10,beta,0.16762171536864992,0.0008006315447462677,
3,10,k_c,0.11531571110252872,4.63395092933462e-06,from beta
3,16,beta,0.20089473603151867,0.0018776853515075184,
3,16,k_c,0.11282211444902394,9.338069137697259e-05,from beta
4,4,beta,0.14067265595975054,0.003894202469568173,
4,4,k_c,0.0842573435316068,0.0003964752574769266,from beta
4,6,beta,0.2306667294427054,0.003310139158778303,
4,6,k_c,0.07781528978709888,0.0001284474956097697,from beta
4,8,beta,0.28938394259955913,0.0036749839910034648,
4,8,k_c,0.07617511866226462,8.496190004890452e-05,from beta
4,10,beta,0.3333344896590439,0.002267559369534265,
4,10,k_c,0.0753833381036503,3.656978838340709e-06,from beta
2,8,k_c,0.2532826576576578,0.019175961675961608,from chi
2,16,k_c,0.23768131652060226,0.007854410532982012,from chi
2,32,k_c,0.22379510888439447,0.005358732456946749,from chi
2,64,k_c,0.2196765770872915,0.002441918959775996,from chi
3,4,k_c,0.14784327430879152,0.005144282213247753,from chi
3,6,k_c,0.12504004004004027,0.0034944211452832483,from chi
3,8,k_c,0.11815947412930175,0.0020709934072003712,from chi
3,10,k_c,0.1161801437513465,0.0017329948619506164,from chi
3,16,k_c,0.11202485380116924,0.000766214779372637,from chi
4,4,k_c,0.08803030303030304,0.0028282828282828326,from chi
4,6,k_c,0.0788928761297185,0.0006166932482721268,from chi
4,8,k_c,0.076691919191919,0.0006502525252524912,from chi
4,10,k_c,0.07551923076923074,0.0005128205128206301,from chi
2,8,delta,66.24002263566135,7.329542989214341,
2,16,delta,26.35207164931129,0.6913460741177601,
2,32,delta,21.845443515063664,0.5472877932615086,
2,64,delta,16.766648826184838,0.12184205398896344,
3,4,delta,46.8202886278896,7.757477954643368,
3,6,delta,17.880245825686178,0.4027303930896786,
3,8,delta,10.599144579825188,0.20855719937585093,
3,10,delta,9.082033048277783,0.11863035926514864,
3,16,delta,7.187925789430968,0.05247916136041797,
4,4,delta,11.781337120766606,0.36275984848566495,
4,6,delta,6.351104417077018,0.04962622564525443,
4,8,delta,5.198133651983009,0.028059524579983425,
4,10,delta,4.604009225728375,0.019341869127536587,
2,0,alpha,0.0,0.0,
2,0,beta,0.125,0.0,
2,0,gamma,1.75,0.0,
2,0,delta,15.0,0.0,
3,0,alpha,0.11,0.0,
3,0,beta,0.3264,0.0,
3,0,gamma,1.237,0.0,
3,0,delta,4.7898,0.0,
4,0,alpha,0.0,0.0,
4,0,beta,0.5,0.0,
4,0,gamma,1.0,0.0,
4,0,delta,3.0,0.0,
